category_name,position,id,name,description,brand,sku,mpn,price_ron,low_price_ron,high_price_ron,currency,availability,image_url,product_url,shop_name,city,category_url
Scaune birou,,,"Scaun birou operational Gregg, rotativ, mesh, negru + rosu",,,,,209.0,,299.0,RON,,https://cdn.dedeman.ro/media/catalog/product/8/0/8067077_gregg_red_30_.jpg?optimize=low&fit=bounds&height=266&width=266&canvas=266:266,https://www.dedeman.ro/ro/scaun-birou-operational-gregg-rotativ-mesh-negru-rosu/p/8067077,Dedeman,Romania,https://www.dedeman.ro/ro/scaune-birou/c/496
Scaune birou,,,"Scaun birou ergonomic cu suport lombar si tetiera SD-MCH801, rotativ, mesh, negru",,,,,369.0,,469.0,RON,,https://cdn.dedeman.ro/media/catalog/product/8/0/8066569_sd-mch801_p2_1.jpg?optimize=low&fit=bounds&height=266&width=266&canvas=266:266,https://www.dedeman.ro/ro/scaun-birou-ergonomic-cu-suport-lombar-si-tetiera-sd-mch801-rotativ-mesh-negru/p/8066569,Dedeman,Romania,https://www.dedeman.ro/ro/scaune-birou/c/496
Scaune birou,,,"Scaun birou directorial Rulis, rotativ, imitatie piele, roz",,,,,399.0,,548.99,RON,,https://cdn.dedeman.ro/media/catalog/product/8/0/8097973.jpg?optimize=low&fit=bounds&height=266&width=266&canvas=266:266,https://www.dedeman.ro/ro/scaun-birou-directorial-rulis-rotativ-imitatie-piele-roz/p/8097973,Dedeman,Romania,https://www.dedeman.ro/ro/scaune-birou/c/496
Scaune birou,,,"Scaun birou directorial cu suport lombar si tetiera Grandio Mob LA-829AH, mesh, negru",,,,,549.0,,879.0,RON,,https://cdn.dedeman.ro/media/catalog/product/l/a/la-829ah_side--zhixing.jpg?optimize=low&fit=bounds&height=266&width=266&canvas=266:266,https://www.dedeman.ro/ro/scaun-birou-directorial-cu-suport-lombar-si-tetiera-grandio-mob-la-829ah-mesh-negru/p/8052204,Dedeman,Romania,https://www.dedeman.ro/ro/scaune-birou/c/496
Scaune birou,,,"Scaun birou directorial Grandio Mob LA-1003H, poliuretan, maro",,,,,649.0,,799.0,RON,,https://cdn.dedeman.ro/media/catalog/product/8/0/8052216-1.jpg?optimize=low&fit=bounds&height=266&width=266&canvas=266:266,https://www.dedeman.ro/ro/scaun-birou-directorial-grandio-mob-la-1003h-poliuretan-maro/p/8052216,Dedeman,Romania,https://www.dedeman.ro/ro/scaune-birou/c/496
Scaune birou,,,"Scaun birou operational Blokhus, rotativ, polipropilena + poliuretan, albastru",,,,,189.0,,229.0,RON,,https://cdn.dedeman.ro/media/catalog/product/8/1/8111293_blokhus_blue_2__1.jpg?optimize=low&fit=bounds&height=266&width=266&canvas=266:266,https://www.dedeman.ro/ro/scaun-birou-operational-blokhus-rotativ-polipropilena-poliuretan-albastru/p/8111293,Dedeman,Romania,https://www.dedeman.ro/ro/scaune-birou/c/496
Scaune birou,,,"Scaun birou directorial cu suport lombar SD-MCH610A-1, rotativ, mesh, negru",,,,,199.0,,299.0,RON,,https://cdn.dedeman.ro/media/catalog/product/8/0/8066567-2.jpg?optimize=low&fit=bounds&height=266&width=266&canvas=266:266,https://www.dedeman.ro/ro/scaun-birou-directorial-cu-suport-lombar-sd-mch610a-1-rotativ-mesh-negru/p/8066567,Dedeman,Romania,https://www.dedeman.ro/ro/scaune-birou/c/496
Scaune birou,,,"Scaun birou directorial cu suport lombar si tetiera Grandio Mob LA-899H-1, mesh, negru",,,,,449.0,,599.0,RON,,https://cdn.dedeman.ro/media/catalog/product/l/a/la-899h-1_45side--zhixing.jpg?optimize=low&fit=bounds&height=266&width=266&canvas=266:266,https://www.dedeman.ro/ro/scaun-birou-directorial-cu-suport-lombar-si-tetiera-grandio-mob-la-899h-1-mesh-negru/p/8052205,Dedeman,Romania,https://www.dedeman.ro/ro/scaune-birou/c/496
Scaune birou,,,"Scaun birou ergonomic Golf LX, rotativ, stofa C04, maro",,,,,259.0,,299.0,RON,,https://cdn.dedeman.ro/media/catalog/product/8/0/8046463_3_2.jpg?optimize=low&fit=bounds&height=266&width=266&canvas=266:266,https://www.dedeman.ro/ro/scaun-birou-ergonomic-golf-lx-rotativ-stofa-c04-maro/p/8046463,Dedeman,Romania,https://www.dedeman.ro/ro/scaune-birou/c/496
Scaune birou,,,"Scaun birou directorial Modus, rotativ, stofa E80, gri",,,,,499.0,,599.0,RON,,https://cdn.dedeman.ro/media/catalog/product/s/c/scaun_directorial_modus_e80_gri_antares_3_.jpg?optimize=low&fit=bounds&height=266&width=266&canvas=266:266,https://www.dedeman.ro/ro/scaun-birou-directorial-modus-rotativ-stofa-e80-gri/p/8049631,Dedeman,Romania,https://www.dedeman.ro/ro/scaune-birou/c/496
